be_code,be_description,be_location
0,"ООО ""УК Полюс""",Москва
1100,"АО ""Полюс Красноярск""",Северо-Енисейский гп
1200,"АО ""Полюс Вернинское""",Бодайбо
1300,"АО ""Полюс Алдан""",Нижний Куранах
1400,"АО ""Полюс Магадан""",Магадан
1500,"АО ""Полюс Логистика""",Красноярск
1600,"ООО ""Полюс Строй""",Красноярск
1700,"ООО ""Полюс Проект""",Красноярск
1800,"АО ""Тонода""",Бодайбо
1900,"ООО ""Первое ГРП""",Москва
2000,"ООО ""Амурское ГРП""",Москва
2100,"ООО ""Магаданское ГРП""",Тенькинский р-н
2200,"ООО ""Красноярское ГРП""",Красноярск
2300,"ООО ""Ленгео""",Бодайбо
2400,"ООО ""ПОЛЮС СУХОЙ ЛОГ""",Красноярск
2500,"ООО ""ЦПП""Лензолотопроект""",Бодайбо
2600,"АО ""Дальняя Тайга""",Бодайбо
2700,"АО ""ЗДК ""Лензолото""",Бодайбо
2900,"АО ""Светлый""",Бодайбо
3000,"АО ""Севзото""",Бодайбо
3100,"ЗАО ""Ленсиб""",Бодайбо
3300,"АО ""Витимэнергострой""",Иркутск
3400,"АО ""ТайгаЭнергоСтрой""",Красноярск
3500,"ПАО ""Лензолото""",Бодайбо
3600,"ПАО ""Полюс""",Москва
3700,"ООО ""Витим-Байкал""",Иркутск
3800,"ООО ""ЛенРЭМ""",Бодайбо
3900,"ООО ""МФЦ Полюс""",Красноярск
4000,"ООО ""ЧОП ""Полюс Щит""",Красноярск
4100,"ООО ""ЧОП ""Полюс Щит-М""",Красноярск
4200,"АО ""Витимэнерго""",Бодайбо
4300,"АО ""Витимэнергосбыт""",Бодайбо
4400,"АО ""МГЭС""",Бодайбинский р-н
4500,"ООО ""ПОЛЮС АРЕНА""",
4600,Polyus Finance PLC,
4700,"ООО ""МГЭС ХОЛДИНГ""",Бодайбинский р-н
5100,Polyus Gold International,
5200,"ООО ""Ручей""",
5300,"АО ""АЭРОПОРТ БОДАЙБО""",Бодайбо
5400,"ООО ""Полюс Сервис""",Москва
5500,"ООО ""Марокское""",Красноярск г
5600,"ООО ""Мамон""",Красноярск г
5700,ПОЛЮС КАЗАХСТАН ТОО,Нур-Султан г
5800,"ООО ""Притоки Угахана""",Бодайбо г
5900,Polyus Capital Plc,Лондон г
6000,АЗИЯ ГЕО МИНЕРАЛС ТОО,Нур-Султан г
6100,ПКЗ Майнинг ТОО,Нур-Султан г
6200,"ООО ""Полюс Геосервис""",Санкт-Петербург г
6300,"ООО ""Полюс Диджитал""",Москва г
6400,"ООО ""МОРЯНИХА""",Москва г
6500,"ООО ""Западное""",Бодайбо г