id,eo_model_id,eo_model_name,eo_category_spec
1,1,Автогрейдер 160AWD,
2,2,Автогрейдер 160M,
3,3,Автогрейдер 16M,
4,4,Автогрейдер 18M3,
5,5,Автогрейдер 24M,
6,6,Автогрейдер ГС-25,
7,7,Автогрейдер ДЗ-98,
8,8,Автогрейдер САТ 140М,
9,9,Автогрейдер GD825A-2,
10,10,Автогрейдер TG230A,
11,11,Бульдозер гусеничный D275A-5D,
12,12,Бульдозер гусеничный D375A-5D,
13,13,Бульдозер гусеничный D375A-6,
14,14,Бульдозер гусеничный D65PX,
15,15,Бульдозер гусеничный D6R,
16,16,Бульдозер К-702МБА,
17,17,Бульдозер К-703МА,
18,18,Бульдозер колесный WD600-6,
19,19,Бульдозер Т-11,
20,20,Бульдозер D11R,
21,21,Бульдозер D155A-5,
22,23,Бульдозер D375А-6,
23,24,Бульдозер D375A-5,
24,25,Бульдозер D475A-5,
25,26,Бульдозер D63E,
26,27,Бульдозер D65EX,
27,28,Бульдозер D6R,
28,29,Бульдозер D85EХ,
29,30,Бульдозер D85ESS,
30,31,Бульдозер D9R,
31,32,Бульдозер WD600-10,
32,33,Бульдозер WD600-3,
33,34,Бульдозер WD600-6,
34,35,Бульдозер WD600-7,
35,36,Бульдозер WD600-8,
36,37,Бульдозер WD600-9,
37,38,Машина многоцел МКСМ,
38,39,Погрузчик фронтальный 966H,
39,40,Погрузчик фронтальный 980H,
40,41,Погрузчик фронтальный 992K,
41,42,Погрузчик фронтальный 994H,
42,43,Погрузчик фронтальный 994K,
43,45,Погрузчик фронтальный HL780-9S,
44,46,Погрузчик фронтальный WA200-5,
45,47,Погрузчик фронтальный WA430-6,
46,48,Погрузчик фронтальный WA470-6,
47,49,Погрузчик фронтальный WA500-3,
48,50,Погрузчик фронтальный WA500-6,
49,51,Погрузчик фронтальный WA600-3,
50,52,Погрузчик фронтальный WA600-6,
51,56,Погрузчик фронтальный WA800-3,
52,57,Погрузчик фронтальный WA900-3,
53,58,Погрузчик фронтальный WA900-3HL,
54,60,Самосвалы БелАЗ-75182,Автосамосвалы в классе 180-190 тонн
55,61,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн
56,62,Самосвалы БелАЗ-7547,Автосамосвалы в классе 40-85тонн
57,63,Самосвалы CAT 777E,Автосамосвалы в классе 85-110тонн
58,64,Самосвалы CAT 777F,Автосамосвалы в классе 85-110тонн
59,65,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн
60,66,Самосвалы CAT 789D,Автосамосвалы в классе 180-190 тонн
61,67,Самосвалы CAT 793D,Автосамосвалы в классе 218-250 тонн
62,68,Самосвалы Komatsu 730E-10,Автосамосвалы в классе 180-190 тонн
63,69,Самосвалы Komatsu 730E-8,Автосамосвалы в классе 180-190 тонн
64,70,Самосвалы Komatsu 830E-1AC,Автосамосвалы в классе 218-250 тонн
65,71,Самосвалы Komatsu HD1500-7,Автосамосвалы в классе 120-150 тонн
66,72,Самосвалы Komatsu HD1500-8,Автосамосвалы в классе 120-150 тонн
67,73,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн
68,74,Самосвалы Komatsu HD785-7,Автосамосвалы в классе 85-110тонн
69,75,Специальн машина К-703МА,
70,76,Станки буровые СБШ-250,Буровые станки станки тяжелого класса
71,77,Станки буровые DE810,
72,78,Станки буровые DML LP,
73,79,Станки буровые PV-235,Буровые станки среднего класса
74,80,Станки буровые PV-351,
75,81,Станки буровые ROC D65,
76,82,Станки буровые SmartROC D65,
77,83,Станок буровой CM785D,
78,84,Станок буровой DM 45LP,
79,85,Станок буровой DML HP 1200,
80,86,Станок буровой FlexiROC D65,Буровые станки станки тяжелого класса
81,87,Станок буровой FlexiROC D66,
82,88,Станок буровой FlexiROC D67,
83,89,Станок буровой FlexiROC D68,
84,90,Станок буровой FlexiROC D69,
85,91,Станок буровой FlexiROC D70,
86,92,Станок буровой FlexiROC D71,
87,93,Станок буровой FlexiROC D72,
88,94,Станок буровой PV-271,Буровые станки станки тяжелого класса
89,95,Установка буровая БКМ-534,
90,96,Установка буровая БМ-83,
91,97,Установка буровая УРБ-2А2,
92,98,Установка буровая CS10,
93,99,Установка буровая CS1000,
94,100,Установка буровая CS14,
95,101,Установка буровая PS1000,
96,102,Экскаватор гидравл. ЕК 270LC,Гидравлические экскаваторы с объемом ковша 1-5 м3
97,103,Экскаватор гидравл. ЕК 450FS,Гидравлические экскаваторы с объемом ковша 1-5 м3
98,104,Экскаватор гидравл. Liebherr R950,Гидравлические экскаваторы с объемом ковша 1-5 м3
99,105,Экскаватор гидравл. Liebherr R974,Гидравлические экскаваторы с объемом ковша 1-5 м3
100,106,Экскаватор гидравл. PC1250SP-8,Гидравлические экскаваторы с объемом ковша 6-7 м3
101,107,Экскаватор гидравл. PC2000-8,Гидравлические экскаваторы с объемом ковша 11-12 м3
102,108,Экскаватор гидравл. PC220-8,Гидравлические экскаваторы с объемом ковша 1-5 м3
103,109,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3
104,110,Экскаватор гидравл. PC4000-6,Гидравлические экскаваторы с объемом ковша 20-22м3
105,111,Экскаватор гидравл. PC400LC-7,Гидравлические экскаваторы с объемом ковша 1-5 м3
106,112,Экскаватор гидравл. PC750-7,Гидравлические экскаваторы с объемом ковша 1-5 м3
107,113,Экскаватор гидравл. WX 200,Гидравлические экскаваторы с объемом ковша 1-5 м3
108,114,Экскаватор PC1250-8,Гидравлические экскаваторы с объемом ковша 6-7 м3
109,115,Экскаватор PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3
110,116,Экскаватор-погрузчик TLB 825,Гидравлические экскаваторы с объемом ковша менее 1 м3
111,117,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3
112,118,Экскаваторы ЭКГ-18,Канатные экскаваторы с объемом ковша 18-35 м3
113,119,Экскаваторы ЭКГ-20,Канатные экскаваторы с объемом ковша 18-35 м3
114,120,Экскаваторы ЭКГ-5А,Канатные экскаваторы с объемом ковша 5-35 м3
115,121,Экскаваторы PC1250-7,Гидравлические экскаваторы с объемом ковша 6-7 м3
116,122,Экскаваторы PC1250-8,Гидравлические экскаваторы с объемом ковша 6-7 м3
117,123,Экскаваторы PC3000-6,Гидравлические экскаваторы с объемом ковша 15-17 м3
118,124,Экскаваторы PH 2300XPC,Канатные экскаваторы с объемом ковша 18-35 м3
119,125,Экскаваторы WK-20,Канатные экскаваторы с объемом ковша 18-35 м3
120,126,Экскаваторы WK-35,Канатные экскаваторы с объемом ковша 18-35 м3
121,127,Самосвалы CAT 777G,Автосамосвалы в классе 85-110тонн
122,128,Самосвалы Komatsu HD 465-7R,Автосамосвалы в классе 40-85тонн
123,129,Самосвалы Белаз 7555 В,Автосамосвалы в классе 40-85тонн
124,130,Бульдозер D-85ESS-2A,
125,131,Бульдозер САТ-834,
126,132,Станок буровой БС Барс,
127,133,Станок буровой DML LP Epiroc,
128,134,Экскаватор PC3000-6 обрат.лопата,Гидравлические экскаваторы с объемом ковша 15-17 м3
129,135,Экскаватор PC5500-6,Гидравлические экскаваторы с объемом ковша 26-30м3
130,136,Экскаватор 4100C AC P&H,Канатные экскаваторы с объемом ковша 40-60 м3
131,137,Бульдозер D375A-5D,
132,138,Станок буровой DML HP 1450,
135,141,Станок буровой PV-274,Буровые станки станки тяжелого класса
137,143,Экскаватор гидравл CAT395,Гидравлические экскаваторы с объемом ковша 1-5 м3